name,review_count,rating,price,category,city,state,zip_code,delivery,pickup,restaurant reservation,vagen_options,street parking,wheelchair accessible,free wi-fi,accepts credit card,accepts apple pay,accepts android pay,outdoor seating,casual dress,good for kids,bike parking,tv,waiter service,full bar,dogs allowed
Eataly Flatiron,5668,4,2,italian,New York,NY,10010,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
Anytime,1491,4.5,2,korean,New York,NY,10001,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
Ippudo Westside,3714,4,2,ramen,New York,NY,10019,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
Spot Dessert Bar,3051,4,2,desserts,New York,NY,10003,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
Eleven Madison Park,2196,4.5,4,newamerican,New York,NY,10010,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
Lombardi's Pizza,6153,4,2,pizza,New York,NY,10012,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0
Del Frisco's Double Eagle Steakhouse,3060,4.5,4,steak,New York,NY,10020,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0
Upstate Craft Beer & Oyster Bar,1888,4.5,2,seafood,New York,NY,10003,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Up Thai,2434,4.5,2,thai,New York,NY,10021,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0
Rubirosa,2367,4.5,2,italian,New York,NY,10012,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0
Rice To Riches,3056,4,2,desserts,New York,NY,10012,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0
Wah Fung No 1,1569,4.5,1,chinese,New York,NY,10002,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Molly's Cupcakes,1694,4.5,2,bakeries,New York,NY,10014,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
Top Thai Greenwich,1536,4.5,2,thai,New York,NY,10012,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
ABC Kitchen,3000,4,3,breakfast_brunch,New York,NY,10003,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0
Junior's Restaurant & Bakery - 45th St,4636,4,2,bakeries,New York,NY,10036,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0
L'Artusi,1914,4.5,3,italian,New York,NY,10014,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Izakaya MEW,2371,4,2,tapas,New York,NY,10001,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0
Eileen's Special Cheesecake,1708,4.5,1,bakeries,New York,NY,10012,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
Angel's Share,2119,4.5,2,cocktailbars,New York,NY,10003,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Grace Street,2618,4,2,coffee,New York,NY,10001,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
Daniel,1648,4.5,4,french,New York,NY,10065,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0
Per Se,1667,4.5,4,french,New York,NY,10019,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Mamoun's Falafel,2412,4,1,mideastern,New York,NY,10012,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0
Bengal Tiger Indian Food,1960,4.5,2,indpak,New York,NY,10019,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
Cafe Habana,3165,4,2,cuban,New York,NY,10012,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0
Beauty & Essex,3504,4,3,newamerican,New York,NY,10002,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Thursday Kitchen,1397,4.5,2,korean,New York,NY,10009,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
Olio e Piú,2503,4.5,2,pizza,New York,NY,10014,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
Zen Ramen & Sushi,1842,4.5,2,sushi,New York,NY,10018,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
The Boil,1949,4,2,cajun,New York,NY,10002,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0
Carmine's Italian Restaurant - Times Square,3773,4,2,italian,New York,NY,10036,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0
Soft Swerve,1643,4.5,1,icecream,New York,NY,10002,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0
Sugar Sweet Sunshine Bakery,2076,4,1,bakeries,New York,NY,10002,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0
Keens Steakhouse,2614,4,4,steak,New York,NY,10018,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
Pure Thai Cookhouse,2579,4,2,thai,New York,NY,10019,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
Artichoke Basille's Pizza,3980,4,1,pizza,New York,NY,10003,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Dutch Freds,1606,4.5,2,cocktailbars,New York,NY,10036,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0
Joe's Pizza,2617,4,1,pizza,New York,NY,10014,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Saigon Shack,2434,4,1,sandwiches,New York,NY,10012,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Wafels & Dinges,1525,4.5,1,waffles,New York,NY,10011,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0
Balthazar,3103,4,3,french,New York,NY,10012,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0
Ess-a-Bagel,3704,4,1,bakeries,New York,NY,10022,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0
Barn Joo 35,2046,4.5,2,korean,New York,NY,10001,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0
Milk & Cream Cereal Bar,1040,4.5,2,icecream,New York,NY,10013,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0
Taim West Village,1530,4.5,2,juicebars,New York,NY,10014,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Ladurée Madison,1907,4.5,3,macarons,New York,NY,10021,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Jane,3150,4,2,breakfast_brunch,New York,NY,10012,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0
Boucherie West Village,1632,4.5,3,french,New York,NY,10014,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0
Alimama,1282,4.5,2,desserts,New York,NY,10013,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1
Jean-Georges,1896,4,4,french,New York,NY,10023,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
NY Pizza Suprema,2052,4,1,pizza,New York,NY,10001,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0
Breakroom,1609,4.5,2,burgers,New York,NY,10013,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0
La Sirène-Soho,1615,4.5,3,french,New York,NY,10013,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
McSorleys Old Ale House,1783,4.5,1,divebars,New York,NY,10003,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
KazuNori  | The Original Hand Roll Bar,997,4.5,2,sushi,New York,NY,10001,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0
THEP Thai Restaurant,1440,4.5,2,thai,New York,NY,10021,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1
Raku,1136,4.5,2,japanese,New York,NY,10003,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0
Bleecker Street Pizza,2399,4,1,pizza,New York,NY,10014,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0
Jajaja Plantas Mexicana,1002,4.5,2,mexican,New York,NY,10002,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0
Sundaes and Cones,1506,4.5,1,icecream,New York,NY,10003,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Sushi Yasuda,2135,4,3,japanese,New York,NY,10017,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
John's of Bleecker Street,2101,4,2,pizza,New York,NY,10014,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
ilili,2448,4,3,mediterranean,New York,NY,10001,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
Veniero's,2108,4,2,bakeries,New York,NY,10003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woorijip,2660,4,1,korean,New York,NY,10001,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Jongro BBQ,2042,4,2,korean,New York,NY,10001,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
Marea,2111,4,3,italian,New York,NY,10019,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
Cheeky Sandwiches,1222,4.5,1,sandwiches,New York,NY,10002,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
Coffee Project New York | East Village,685,4.5,2,coffee,New York,NY,10003,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
Scarpetta,1964,4,3,italian,New York,NY,10016,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0
Sakagura,1775,4,3,japanese,New York,NY,10017,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0
Max Brenner - New York,4677,3.5,2,desserts,New York,NY,10003,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0
Sushi Nakazawa,1432,4.5,4,japanese,New York,NY,10014,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Tony's Di Napoli,2132,4,2,italian,New York,NY,10036,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0
Minetta Tavern,2228,4,3,french,New York,NY,10012,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
B Side Pizza & Wine Bar,1150,4.5,2,pizza,New York,NY,10019,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0
Raines Law Room,1460,4.5,3,lounges,New York,NY,10011,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
TONCHIN NEW YORK,1317,4.5,2,ramen,New York,NY,10018,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1
The MasalaWala,1508,4.5,2,indpak,New York,NY,10002,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0
Shanghai 21,1719,4,2,shanghainese,New York,NY,10013,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
Banh Mi Saigon,1524,4,1,vietnamese,New York,NY,10013,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0
Vanessa's Dumpling House,2673,4,1,chinese,New York,NY,10002,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
Tanner Smiths,1793,4.5,2,cocktailbars,New York,NY,10019,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0
Schmackary's,2040,4,1,desserts,New York,NY,10036,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
Cafe Mogador,1934,4,2,moroccan,New York,NY,10009,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
The Smith,2716,4,2,newamerican,New York,NY,10022,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0
Trattoria Trecolori,2361,4,2,italian,New York,NY,10036,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
Veselka,2656,4,2,diners,New York,NY,10003,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0
The Sea Fire Grill,1295,4.5,3,seafood,New York,NY,10017,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0
Stumptown Coffee Roasters,1392,4.5,2,coffee,New York,NY,10001,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
Empanada Mama - Hell's Kitchen,2551,4,1,latin,New York,NY,10019,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0
The Dead Rabbit,1582,4,2,cocktailbars,New York,NY,10004,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
Momofuku Noodle Bar,4254,3.5,2,ramen,New York,NY,10003,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0
Friedmans,2490,4,2,newamerican,New York,NY,10001,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
99 Favor Taste,1903,4,2,chinese,New York,NY,10002,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
Brooklyn Bagel & Coffee Company,1490,4,1,bagels,New York,NY,10001,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
Luke's Lobster FiDi,1169,4.5,2,seafood,New York,NY,10004,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
il laboratorio del gelato,1322,4,2,icecream,New York,NY,10002,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
City Cakes,758,4.5,2,desserts,New York,NY,10011,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
Sweet Chick,1691,4,2,southern,New York,NY,10002,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0
La Contenta,782,4.5,2,mexican,New York,NY,10002,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1
Pio Pio 8,2356,4,2,latin,New York,NY,10036,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0
Sushi Yasaka,1801,4,2,japanese,New York,NY,10023,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0
Uva,2444,4,2,italian,New York,NY,10075,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0
Babbo,2419,4,4,italian,New York,NY,10011,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0
The Lobster Place,1340,4,2,seafoodmarkets,New York,NY,10011,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0
Shu Jiao Fu Zhou Cuisine Restaurant,886,4.5,1,chinese,New York,NY,10002,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Dough,1552,4,1,desserts,New York,NY,10011,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0
Her Name Is Han,1280,4,2,korean,New York,NY,10016,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
La Lanterna Di Vittorio,1482,4,2,italian,New York,NY,10012,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0
Shake Shack,3029,4,2,burgers,New York,NY,10036,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Cookshop,2138,4,2,newamerican,New York,NY,10011,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1
Gyu-Kaku Japanese BBQ,1685,4,3,japanese,New York,NY,10003,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0
Ruby's Cafe,1303,4,2,burgers,New York,NY,10012,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Bohemian Restaurant,785,4.5,3,japanese,New York,NY,10012,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0
DOMODOMO - New York,1189,4,3,japanese,New York,NY,10012,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
Breads Bakery,1052,4.5,2,bakeries,New York,NY,10003,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
Los Mariscos,629,4.5,1,seafood,New York,NY,10011,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0
Kesté Pizza & Vino,1426,4,2,pizza,New York,NY,10038,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0
Sushi by Bou Times Square,592,4.5,3,sushi,New York,NY,10036,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0
Kam Hing Coffee Shop,712,4.5,1,bakeries,New York,NY,10013,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
Pylos,1138,4.5,3,greek,New York,NY,10009,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Very Fresh Noodles,1056,4.5,2,taiwanese,New York,NY,10011,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
Absolute Bagels,1446,4.5,1,bakeries,New York,NY,10025,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Red Bamboo,1720,4,2,vegetarian,New York,NY,10012,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0
Jungsik,615,4.5,4,korean,New York,NY,10013,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Yuca Bar,1842,4,2,latin,New York,NY,10009,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0
Frisson Espresso,724,4.5,1,coffee,New York,NY,10036,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0
Quality Meats,1995,4,4,steak,New York,NY,10019,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0
Calle Ocho,2533,4,2,cuban,New York,NY,10025,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0
Pommes Frites,965,4.5,1,belgian,New York,NY,10012,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0
Ayza Wine & Chocolate Bar,1804,4,2,wine_bars,New York,NY,10001,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0
Momosan Ramen & Sake - New York,1666,4,2,ramen,New York,NY,10016,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
Buvette,1802,4,2,french,New York,NY,10014,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0
Nyonya,2108,4,2,asianfusion,New York,NY,10013,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
Little Owl,1303,4,3,breakfast_brunch,New York,NY,10014,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
ChikaLicious Dessert Bar,1339,4,2,desserts,New York,NY,10003,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
BCD Tofu House,2085,4,2,korean,New York,NY,10001,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0
Mighty Quinn's Barbeque,1779,4,2,bbq,New York,NY,10003,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
Pisillo Italian Panini,612,4.5,2,italian,New York,NY,10038,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0
Claw Daddy's,1747,4,2,cajun,New York,NY,10002,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
OBAO,2670,4,2,vietnamese,New York,NY,10036,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
Sweet Moment,876,4.5,2,coffee,New York,NY,10013,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
Hatsuhana Sushi Restaurant,1365,4,3,japanese,New York,NY,10017,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0
Cafe Katja,793,4.5,2,german,New York,NY,10002,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0
Tsurutontan Udon Noodle Brasserie,1927,4,2,japanese,New York,NY,10003,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0
Shake Shack,2361,4,2,burgers,New York,NY,10024,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
Alta,1921,4,3,tapas,New York,NY,10011,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
Root & Bone,1628,4,2,southern,New York,NY,10009,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1
Amy Ruth's,2686,4,2,southern,New York,NY,10026,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0
Raclette,1392,4,2,sandwiches,New York,NY,10009,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0
Sushi By M,554,4.5,3,sushi,New York,NY,10003,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0
Fish Cheeks,775,4.5,2,seafood,New York,NY,10012,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
Crif Dogs,2082,4,1,hotdog,New York,NY,10009,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
Ootoya Chelsea,1414,4,2,sushi,New York,NY,10011,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0
The Modern,1018,4.5,4,newamerican,New York,NY,10019,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0
Pig and Khao,1656,4,2,filipino,New York,NY,10002,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
Nish Nush,730,4.5,2,vegetarian,New York,NY,10013,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
Lupa,1560,4,3,italian,New York,NY,10012,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0
Whiskey Tavern,781,4.5,2,whiskeybars,New York,NY,10013,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0
Nai Tapas,959,4.5,2,tapas,New York,NY,10003,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
Jack's Wife Freda,1972,4,2,breakfast_brunch,New York,NY,10012,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0
Gelso & Grand,1010,4.5,2,italian,New York,NY,10013,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0
Barn Joo,1648,4,2,korean,New York,NY,10003,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0
Boucherie Union Square,906,4.5,3,steak,New York,NY,10003,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0
Marc Forgione,935,4.5,3,newamerican,New York,NY,10013,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Milk Bar East Village,3360,3.5,2,bakeries,New York,NY,10003,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0
Toloache 50,1998,4,2,mexican,New York,NY,10012,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0
Faicco's Italian Specialties,552,4.5,2,meats,New York,NY,10014,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0
Cask,1368,4,2,bars,New York,NY,10016,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0
Blue Ribbon Brasserie - SoHo,940,4.5,3,tradamerican,New York,NY,10012,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0
Vida Verde,1212,4.5,2,cocktailbars,New York,NY,10019,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0
Turntable Chicken Jazz,2037,4,2,chicken_wings,New York,NY,10001,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0
Russ & Daughters Cafe,1020,4,2,bagels,New York,NY,10002,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0
Havana Central,2361,4,2,cuban,New York,NY,10036,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0
Freemans,2084,4,2,breakfast_brunch,New York,NY,10002,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0
Cuba Restaurant and Rum Bar,1579,4,2,cuban,New York,NY,10012,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1
